Title,Type,Department,Medium,Year~,Artist
Openwork jar with peonies,Jar,Asian Art,Porcelain,1833,
Chinese Pavilion,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1775,Frankenthal Porcelain Manufactory
Rabbit Catchers,Group,European Sculpture and Decorative Arts,Soft-paste porcelain,1764,Capodimonte Porcelain Manufactory
Samoyed Man,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1805,"Imperial Porcelain Manufactory, St. Petersburg"
Plate,Plate,European Sculpture and Decorative Arts,Hard-paste porcelain,1760,"Imperial Porcelain Manufactory, St. Petersburg"
Chinese musicians,Group,European Sculpture and Decorative Arts,Soft-paste porcelain,1760,Chelsea Porcelain Manufactory
Figure of a standing Chinese man,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1745,Villeroy
St. John the Evangelist,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1749,Capodimonte Porcelain Manufactory
The Mourning Virgin,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1749,Capodimonte Porcelain Manufactory
Seated Chinese,Figure,European Sculpture and Decorative Arts,Soft-paste porcelain,1745,Saint-Cloud factory
Personification of the River Nile,Group,European Sculpture and Decorative Arts,Hard-paste biscuit porcelain,1800,Giovanni Volpato
Lion (one of a pair),Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1737,Johann Gottlieb Kirchner
Oriental with Jar,Jar,European Sculpture and Decorative Arts,Tin-glazed soft-paste porcelain,1740,
Tureen with cover,Tureen with cover,European Sculpture and Decorative Arts,Hard-paste porcelain,1740,Vienna
Harlequina,Figure,European Sculpture and Decorative Arts,Hard-paste porcelain,1768,Franz Anton Bustelli
Harlequin family,Group,European Sculpture and Decorative Arts,Tin-glazed soft-paste porcelain,1750,Villeroy
Ewer (Brocca),Ewer,European Sculpture and Decorative Arts,Soft-paste porcelain decorated in underglaze blue,1592,Medici Porcelain Manufactory
Light Gatherer,,Modern and Contemporary Art,Porcelain,1988,Rudolf Staffel
Tray,Tray,European Sculpture and Decorative Arts,"Hard-paste porcelain decorated in polychrome enamels, gold",1836,Sèvres Manufactory
Shoulao,Figure,European Sculpture and Decorative Arts,Tin-glazed soft-paste porcelain decorataed in polychrome enamels,1745,Chantilly
Bottle cooler from the Louis XV service (seau à bouteille),Cooler,European Sculpture and Decorative Arts,"Soft-paste porcelain decorated in polychrome enamels, gold",1754,Vincennes Manufactory
Harlequin with jug,Figure,European Sculpture and Decorative Arts,"Hard-paste porcelain decorated in polychrome enamels, gold",1745,Meissen Manufactory
Harlequin,Figure,European Sculpture and Decorative Arts,"Hard-paste porcelain decorated in polychrome enamels, gold",1758,Höchst Manufactory
