created_at,date,year,hour,weekday,tweet_text_raw,tweet_text,favorites,retweets,is_retweet,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment
2009-05-04 20:54:25,2009-05-04,2009,20,Monday,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,868.0,500.0,False,0.004283325280994177,0.6332971453666687,0.3624194860458374,0.3581361607648432,Neutral
2009-05-12 21:21:55,2009-05-12,2009,21,Tuesday,"Miss USA Tara Conner will not be fired - ""I've always been a believer in second chances."" says Donald Trump","Miss USA Tara Conner will not be fired - ""I've always been a believer in second chances."" says Donald Trump",26.0,27.0,False,0.023426735773682594,0.4349316656589508,0.5416415929794312,0.5182148572057486,Positive
2009-07-13 16:03:38,2009-07-13,2009,16,Monday,"""Be aware of things that seem inexplicable because they can be a big step towards innovation."" --Donald J. Trump http://tinyurl.com/pqpfvm","""Be aware of things that seem inexplicable because they can be a big step towards innovation."" --Donald J. Trump",27.0,14.0,False,0.006194723304361105,0.13399052619934082,0.8598147630691528,0.8536200397647917,Positive
2009-05-20 15:25:39,2009-05-20,2009,15,Wednesday,"""Always know you could be on the precipice of something great."" --Donald J. Trump http://tinyurl.com/pqpfvm","""Always know you could be on the precipice of something great."" --Donald J. Trump",53.0,29.0,False,0.005805434193462133,0.0698552206158638,0.9243393540382385,0.9185339198447764,Positive
2009-05-27 16:18:52,2009-05-27,2009,16,Wednesday,Read an excerpt from Think Like A Champion by Donald J. Trump: http://bit.ly/11FHpR,Read an excerpt from Think Like A Champion by Donald J. Trump:,12.0,4.0,False,0.012219958007335663,0.7955873608589172,0.1921926736831665,0.17997271567583084,Neutral
2009-10-27 16:31:48,2009-10-27,2009,16,Tuesday,"--From Donald Trump: ""Ivanka and Jared’s wedding was spectacular, and they make a beautiful couple. I’m a very proud father.""","--From Donald Trump: ""Ivanka and Jared’s wedding was spectacular, and they make a beautiful couple. I’m a very proud father.""",11.0,8.0,False,0.0030822467524558306,0.012761695310473442,0.98415607213974,0.9810738253872842,Positive
2009-07-28 17:50:31,2009-07-28,2009,17,Tuesday,Check out a list of Donald Trump's books for summer reading at the Trump University Blog: http://tinyurl.com/knyswt,Check out a list of Donald Trump's books for summer reading at the Trump University Blog:,26.0,30.0,False,0.006270586047321558,0.8959588408470154,0.09777053445577621,0.09149994840845466,Neutral
2009-06-18 15:26:53,2009-06-18,2009,15,Thursday,"RE: FB Vanity URLs: SF Chronicle - ""David Beckham was one of the first, along with Britney Spears & Donald Trump."" http://tinyurl.com/ln4lol","RE: FB Vanity URLs: SF Chronicle - ""David Beckham was one of the first, along with Britney Spears & Donald Trump.""",17.0,18.0,False,0.02558867260813713,0.9227213263511658,0.05168994888663292,0.02610127627849579,Neutral
2009-09-01 15:55:34,2009-09-01,2009,15,Tuesday,"- More hysterical DSRL videos featuring Donald Trump and ""Double Trump"" plus enter Golden Lick Race Sweepstakes: http://tinyurl.com/6asujj","- More hysterical DSRL videos featuring Donald Trump and ""Double Trump"" plus enter Golden Lick Race Sweepstakes:",58.0,56.0,False,0.01989346370100975,0.5723370313644409,0.40776950120925903,0.3878760375082493,Neutral
2009-05-19 19:43:39,2009-05-19,2009,19,Tuesday,"""...these days...we could all use a little of the power of Trumpative thinking."" –BarnesandNoble.com http://tinyurl.com/pqpfvm","""...these days...we could all use a little of the power of Trumpative thinking."" –BarnesandNoble.com",17.0,18.0,False,0.06715233623981476,0.7153328061103821,0.21751487255096436,0.1503625363111496,Neutral
