date,day,source,target,amount_usd,transaction_type,transaction_count
2026-01-01,1,c03,c05,8365.02,goods,4
2026-01-01,1,c07,c08,18744.79,shipping,3
2026-01-01,1,c09,c12,20544.07,services,2
2026-01-02,2,c02,c03,10548.31,shipping,4
2026-01-02,2,c01,c06,17178.98,components,3
2026-01-02,2,c10,c12,11120.73,goods,2
2026-01-02,2,c02,c04,12360.59,components,3
2026-01-02,2,c03,c06,11206.49,services,3
2026-01-02,2,c08,c11,17139.67,materials,3
2026-01-02,2,c09,c10,12683.82,services,3
2026-01-03,3,c01,c02,17211.59,goods,4
2026-01-03,3,c04,c06,21092.35,components,3
2026-01-03,3,c08,c10,9406.91,shipping,2
2026-01-03,3,c07,c11,14855.22,materials,1
2026-01-04,4,c03,c05,8460.47,goods,3
2026-01-04,4,c07,c08,15788.83,shipping,2
2026-01-04,4,c09,c12,21480.7,services,1
2026-01-04,4,c02,c04,12312.39,components,2
2026-01-04,4,c03,c06,11348.24,services,2
2026-01-04,4,c08,c11,15169.48,materials,2
2026-01-04,4,c09,c10,12167.44,services,2
2026-01-05,5,c02,c03,13468.66,shipping,3
2026-01-05,5,c01,c06,13253.02,components,2
2026-01-05,5,c10,c12,12826.6,goods,1
2026-01-05,5,c06,c07,8515.74,services,1
2026-01-06,6,c01,c02,19045.42,goods,3
2026-01-06,6,c04,c06,21203.34,components,2
2026-01-06,6,c08,c10,9469.55,shipping,1
2026-01-06,6,c07,c11,13916.97,materials,4
2026-01-06,6,c02,c04,11956.03,components,1
2026-01-06,6,c03,c06,10758.12,services,1
2026-01-06,6,c08,c11,16689.88,materials,1
2026-01-06,6,c09,c10,11711.76,services,1
2026-01-07,7,c03,c05,9386.26,goods,2
2026-01-07,7,c07,c08,18151.04,shipping,1
2026-01-07,7,c09,c12,21236.89,services,4
2026-01-08,8,c02,c03,13323.91,shipping,2
2026-01-08,8,c01,c06,15968.78,components,1
2026-01-08,8,c10,c12,12165.4,goods,4
2026-01-08,8,c02,c04,14018.75,components,3
2026-01-08,8,c03,c06,10546.36,services,3
2026-01-08,8,c08,c11,15511.12,materials,3
2026-01-08,8,c09,c10,10707.56,services,3
2026-01-09,9,c01,c02,18859.01,goods,2
2026-01-09,9,c04,c06,21494.12,components,1
2026-01-09,9,c08,c10,10133.09,shipping,4
2026-01-09,9,c07,c11,14448.87,materials,3
2026-01-10,10,c03,c05,8571.99,goods,1
2026-01-10,10,c07,c08,18404.18,shipping,4
