date,city,country,temperature_c,humidity_pct,wind_speed_mps,pressure_hpa,precipitation_mm
2025-01-01,New York,USA,11.6,67.5,5.3,1015.2,1.4
2025-01-01,London,UK,8.9,84.7,5.7,1017.5,12.3
2025-01-01,Tokyo,Japan,15.0,81.6,5.5,1019.3,10.9
2025-01-01,Singapore,Singapore,25.8,89.8,3.1,1014.5,18.6
2025-01-01,Sydney,Australia,24.8,57.8,6.0,1016.5,0
2025-01-01,Cairo,Egypt,18.6,41.8,2.7,1007.2,0
2025-01-01,São Paulo,Brazil,22.8,61.6,2.8,1007.7,0
2025-01-01,Toronto,Canada,4.8,65.0,3.2,1007.5,0
2025-01-02,New York,USA,12.0,68.5,5.7,1015.8,0
2025-01-02,London,UK,9.1,83.4,6.7,1014.9,9.2
2025-01-02,Tokyo,Japan,14.7,80.0,6.0,1019.7,8.2
2025-01-02,Singapore,Singapore,26.4,88.0,3.0,1013.8,14.0
2025-01-02,Sydney,Australia,23.8,60.9,5.3,1017.8,0
2025-01-02,Cairo,Egypt,18.4,38.5,3.2,1005.6,0
2025-01-02,São Paulo,Brazil,24.1,60.3,2.3,1007.9,0
2025-01-02,Toronto,Canada,3.6,61.0,4.0,1010.2,0
2025-01-03,New York,USA,11.6,68.7,5.6,1015.8,0
2025-01-03,London,UK,8.8,80.1,7.2,1019.0,3.5
2025-01-03,Tokyo,Japan,16.8,81.6,5.9,1020.0,12.4
2025-01-03,Singapore,Singapore,24.5,85.7,2.9,1011.3,15.6
2025-01-03,Sydney,Australia,22.9,59.7,5.0,1017.0,0
2025-01-03,Cairo,Egypt,18.6,43.4,2.2,1007.8,0
2025-01-03,São Paulo,Brazil,23.2,58.1,2.5,1005.8,0
2025-01-03,Toronto,Canada,5.5,64.5,3.5,1007.7,0.1
2025-01-04,New York,USA,13.1,66.3,5.1,1015.0,2.1
2025-01-04,London,UK,9.0,84.4,6.1,1016.7,7.8
2025-01-04,Tokyo,Japan,17.1,81.1,4.9,1019.9,7.7
2025-01-04,Singapore,Singapore,26.3,85.8,2.9,1011.4,14.8
2025-01-04,Sydney,Australia,21.8,57.8,5.6,1017.9,0
2025-01-04,Cairo,Egypt,20.3,43.0,3.6,1005.3,0
2025-01-04,São Paulo,Brazil,23.4,58.6,2.8,1006.3,0
2025-01-04,Toronto,Canada,5.9,66.4,4.6,1010.0,0
2025-01-05,New York,USA,13.6,69.5,5.9,1017.8,0
2025-01-05,London,UK,10.8,82.1,7.2,1018.2,5.8
2025-01-05,Tokyo,Japan,16.0,78.6,4.8,1021.7,6.4
2025-01-05,Singapore,Singapore,26.3,88.7,2.7,1014.1,13.5
2025-01-05,Sydney,Australia,22.3,59.3,4.7,1015.2,0
2025-01-05,Cairo,Egypt,18.7,42.2,2.8,1005.7,0
2025-01-05,São Paulo,Brazil,21.5,58.6,2.1,1007.1,0
2025-01-05,Toronto,Canada,6.1,62.2,4.5,1008.5,0
2025-01-06,New York,USA,14.1,68.4,5.4,1016.5,0
2025-01-06,London,UK,9.8,80.5,6.1,1018.3,9.7
2025-01-06,Tokyo,Japan,16.3,76.1,5.1,1021.5,1.7
2025-01-06,Singapore,Singapore,24.8,89.8,3.3,1010.9,12.2
2025-01-06,Sydney,Australia,22.2,57.1,4.6,1014.1,0
2025-01-06,Cairo,Egypt,18.4,39.8,2.4,1005.9,0
2025-01-06,São Paulo,Brazil,21.8,60.0,1.6,1008.2,0
2025-01-06,Toronto,Canada,5.3,64.1,4.2,1010.1,0.6
2025-01-07,New York,USA,12.9,68.3,6.6,1018.7,0
2025-01-07,London,UK,10.2,84.4,7.4,1015.9,8.8
2025-01-07,Tokyo,Japan,17.1,77.1,4.6,1022.2,8.3
2025-01-07,Singapore,Singapore,24.2,86.9,2.9,1010.2,12.4
2025-01-07,Sydney,Australia,20.6,58.1,4.8,1013.9,0
2025-01-07,Cairo,Egypt,20.3,38.6,2.4,1006.6,0
2025-01-07,São Paulo,Brazil,23.1,60.2,2.8,1006.8,0
2025-01-07,Toronto,Canada,7.1,64.7,4.7,1010.0,0
2025-01-08,New York,USA,14.7,69.8,6.6,1019.4,3.8
2025-01-08,London,UK,9.5,83.0,7.0,1018.8,11.0
2025-01-08,Tokyo,Japan,16.7,75.3,4.0,1021.6,0.1
2025-01-08,Singapore,Singapore,24.3,85.1,2.1,1012.6,14.4
2025-01-08,Sydney,Australia,21.0,56.1,4.1,1012.8,0
2025-01-08,Cairo,Egypt,18.5,38.9,2.6,1005.6,0
2025-01-08,São Paulo,Brazil,23.2,58.3,1.8,1005.8,0
2025-01-08,Toronto,Canada,7.2,66.3,4.1,1009.8,0
2025-01-09,New York,USA,15.4,70.5,6.5,1019.9,0
2025-01-09,London,UK,11.1,85.7,6.6,1017.8,8.1
2025-01-09,Tokyo,Japan,16.2,78.3,4.3,1021.0,4.6
2025-01-09,Singapore,Singapore,25.7,87.3,2.5,1009.4,14.4
2025-01-09,Sydney,Australia,21.7,54.8,3.7,1014.3,0
2025-01-09,Cairo,Egypt,19.3,39.7,2.8,1006.9,0
2025-01-09,São Paulo,Brazil,22.4,58.6,1.9,1005.6,0
2025-01-09,Toronto,Canada,6.5,66.8,5.3,1011.6,1.7
2025-01-10,New York,USA,13.9,71.9,6.3,1018.5,4.4
2025-01-10,London,UK,9.9,81.7,6.8,1018.6,10.0
2025-01-10,Tokyo,Japan,15.9,74.1,4.4,1018.7,3.8
2025-01-10,Singapore,Singapore,23.5,83.4,1.9,1010.7,10.2
2025-01-10,Sydney,Australia,20.9,56.9,4.2,1012.1,0
2025-01-10,Cairo,Egypt,20.3,35.9,2.1,1005.0,0
2025-01-10,São Paulo,Brazil,22.6,61.1,3.1,1007.3,0
2025-01-10,Toronto,Canada,7.7,64.4,4.2,1012.1,0
2025-01-11,New York,USA,13.7,70.8,6.7,1019.6,0
2025-01-11,London,UK,11.9,83.4,6.2,1018.5,13.7
2025-01-11,Tokyo,Japan,15.3,76.0,4.0,1019.8,3.3
2025-01-11,Singapore,Singapore,24.4,82.4,1.3,1008.1,5.3
2025-01-11,Sydney,Australia,21.0,57.6,3.4,1014.5,0
2025-01-11,Cairo,Egypt,20.0,39.6,2.7,1004.9,0
2025-01-11,São Paulo,Brazil,22.9,60.0,3.3,1008.9,0
2025-01-11,Toronto,Canada,6.9,68.5,5.1,1013.1,2.4
2025-01-12,New York,USA,14.9,74.1,5.9,1020.7,0
2025-01-12,London,UK,10.8,83.3,5.7,1017.7,9.5
2025-01-12,Tokyo,Japan,16.0,73.5,4.1,1017.4,5.3
2025-01-12,Singapore,Singapore,25.6,83.4,2.0,1008.3,12.3
2025-01-12,Sydney,Australia,20.9,54.8,4.5,1013.7,0
2025-01-12,Cairo,Egypt,19.3,34.6,2.4,1003.6,0
2025-01-12,São Paulo,Brazil,23.5,58.7,3.7,1008.2,0
2025-01-12,Toronto,Canada,8.2,65.8,4.8,1012.6,0
2025-01-13,New York,USA,14.2,72.6,5.8,1019.8,2.8
2025-01-13,London,UK,12.1,82.1,6.3,1016.5,10.6
2025-01-13,Tokyo,Japan,17.0,74.4,3.3,1017.7,1.5
2025-01-13,Singapore,Singapore,23.4,85.4,1.0,1007.1,7.8
2025-01-13,Sydney,Australia,18.8,56.2,3.7,1012.3,0
2025-01-13,Cairo,Egypt,19.6,40.2,2.9,1006.5,0
2025-01-13,São Paulo,Brazil,23.6,59.4,3.6,1009.1,0
2025-01-13,Toronto,Canada,9.5,66.8,4.9,1014.8,2.2
2025-01-14,New York,USA,16.7,70.7,6.5,1019.6,5.1
